,ticker,quantity,equity,price,average_buy_price,percent_change,weight
0,CIBR,7.006547,261.45,37.315,33.3175,12.0,0.0994783521864691
1,FTEC,3.767738,369.24,98.0,74.7486,31.11,0.14049105665072423
2,PHO,2.885058,123.19,42.7,38.4776,10.97,0.046872205797862415
3,SPY,0.175733,62.0,352.81,311.666,13.2,0.02359020017426309
4,PING,5.304944,186.04,35.07,25.2802,38.73,0.07078582000677265
5,BND,2.028066,178.56,88.045,86.6123,1.65,0.06793977650187769
6,OGIG,5.084742,243.86,47.96,29.1662,64.44,0.09278558410477092
7,MSFT,0.502619,112.05,222.94,183.5784,21.44,0.04263357950848676
8,WCLD,2.25,106.65,47.399,38.8222,22.09,0.04057894917072836
9,QLTA,3.336317,193.74,58.07,56.5803,2.63,0.0737155706735763
10,KO,0.915768,46.92,51.235,46.9005,9.24,0.017852454712522968
11,SOXX,0.321531,106.11,330.0,258.5754,27.62,0.04037348613695252
12,VYM,1.323302,112.14,84.74,84.9919,-0.3,0.042667823347449396
13,WM,1.00482,117.32,116.76,109.3927,6.73,0.04463874652329912
14,VRSN,0.549256,118.05,214.92,205.7511,4.46,0.044916502105996084
15,VTV,1.438097,157.14,109.27,102.3852,6.72,0.05978974282876937
16,USMV,1.195093,79.29,66.3453,63.9532,3.74,0.030168822126085813
17,IHI,0.172969,54.46,314.86,289.2425,8.86,0.02072132744339303
